id;group;experiment;reps
15073;beta_ala;pretest;75.00
20438;beta_ala;pretest;27.00
25778;beta_ala;pretest;60.00
26107;beta_ala;pretest;120.00
27351;beta_ala;pretest;29.00
28514;placebo;pretest;105.00
33468;placebo;pretest;45.00
39337;placebo;pretest;44.00
39750;placebo;pretest;30.00
44858;beta_ala;pretest;44.00
49444;placebo;pretest;44.00
49830;beta_ala;pretest;60.00
50843;placebo;pretest;42.00
54145;beta_ala;pretest;43.00
54658;placebo;pretest;56.00
58046;beta_ala;pretest;44.00
59289;beta_ala;pretest;55.00
61104;placebo;pretest;28.00
71620;placebo;pretest;26.00
73162;beta_ala;pretest;40.00
76847;placebo;pretest;26.00
82556;placebo;pretest;90.00
93302;placebo;pretest;30.00
93672;beta_ala;pretest;30.00
15073;beta_ala;posttest;88
20438;beta_ala;posttest;103
25778;beta_ala;posttest;29
26107;beta_ala;posttest;89
27351;beta_ala;posttest;14
28514;placebo;posttest;99
33468;placebo;posttest;29
39337;placebo;posttest;60
39750;placebo;posttest;57
44858;beta_ala;posttest;58
49444;placebo;posttest;60
49830;beta_ala;posttest;56
50843;placebo;posttest;43
54145;beta_ala;posttest;44
54658;placebo;posttest;60
58046;beta_ala;posttest;30
59289;beta_ala;posttest;38
61104;placebo;posttest;26
71620;placebo;posttest;15
73162;beta_ala;posttest;90
76847;placebo;posttest;28
82556;placebo;posttest;45
93302;placebo;posttest;13
93672;beta_ala;posttest;29
